chr	pos	lod
c3.loc20	3	20	3.76452061870827
Chrom3-9678570	3	20.1353745911176	3.77280289192754
Chrom3-9839372	3	20.5184162188586	3.84738216276236
Chrom3-10082179	3	20.5184163188586	3.84738215824228
Chrom3-10188648	3	20.8780852807117	3.76578379208888
Chrom3-10298198	3	21.1793006245816	3.87617541524344
Chrom3-10350953	3	21.1793007245816	3.87617565656382
Chrom3-10542479	3	21.4664187462384	4.49566896099674
Chrom3-10592504	3	21.4664188462384	4.49566896086725
Chrom3-10702315	3	21.9076300301943	4.47822311923755
c3.loc22	3	22	4.47386376222391
Chrom3-10860319	3	22.0708774531904	4.470353180112
Chrom3-10910813	3	22.2624359220913	4.45093083269518
Chrom3-10965194	3	22.389435423655	4.43415426779222
Chrom3-11036460	3	23.2335010717978	4.29224190405995
Chrom3-11087440	3	23.2335013459082	4.2922417799515
Chrom3-11137834	3	23.2335014459082	4.29224175597534
Chrom3-11243360	3	23.5799079718943	4.26441792420599
c3.loc24	3	24	4.4224567116463
Chrom3-11295405	3	24.1483534026276	4.45593183317675
Chrom3-11410135	3	24.3901901200144	4.51124866295766
Chrom3-11668749	3	24.8091436669966	4.44577161657082
Chrom3-11775701	3	25.0517366056447	4.39709836222465
Chrom3-11929237	3	25.2844480707185	4.32758603627326
Chrom3-12087237	3	25.3859583092318	4.32758603627281
Chrom3-12353926	3	25.7989880107845	4.32550953979154
Chrom3-12464203	3	25.7989881107845	4.32550953928484
Chrom3-12566948	3	25.7989882107845	4.32550953877819
c3.loc26	3	26	4.32726597402279
Chrom3-12618192	3	26.0488464291475	4.32791543817757
Chrom3-12670962	3	26.4387740220116	4.33606760352558
Chrom3-12774461	3	26.7631970238921	4.51472988040825
Chrom3-12874735	3	26.7631971238921	4.5147299025864
Chrom3-12928443	3	26.7631972238921	4.51472990378784
Chrom3-13113224	3	27.3372950806588	4.66562750477453
Chrom3-13167130	3	27.3642947579191	4.66723750492071
Chrom3-13270442	3	27.7156830118416	4.64567565767027
Chrom3-13372084	3	27.7156831118416	4.64567565098321
c3.loc28	3	28	4.61435918896797
Chrom3-13477801	3	28.2105330128331	4.58892712409039
Chrom3-13536476	3	28.2105331128331	4.58892714081145
Chrom3-13587591	3	28.4012992208849	4.61130961631972
Chrom3-13639747	3	28.5935413804288	4.68180962711017
Chrom3-13741774	3	28.7209637521141	4.87370704002171
Chrom3-13900197	3	28.8913746260896	4.84856464823054
Chrom3-14116048	3	29.2302073016034	4.79583274232675
Chrom3-14236728	3	29.6112554610807	4.95859168454609
Chrom3-14345953	3	29.6112555610807	4.95859174972287
Chrom3-14517261	3	29.9827768325903	4.1288239969951
c3.loc30	3	30	4.12996544494655
Chrom3-14620797	3	30.2295273818736	4.14594092763986
Chrom3-14671869	3	30.3880868240473	4.14594092763946
Chrom3-14825406	3	30.5467172090774	3.88101271791351
Chrom3-15035684	3	30.7584553318012	3.88101271791351
Chrom3-15196320	3	31.0767066946231	3.86378811082051
Chrom3-15304404	3	31.0767067946231	3.86378808903072
