chr	trait.1	trait.2	start.1	end.1	start.2	end.2	overlap_start	overlap_end	overlap_len	frac_sum	jaccard	frac_small
chr2	ANL	COL	0.10197987531197	112.730484831628	17.8931139644137	42.4326536454264	17.8931139644137	42.4326536454264	24.539539681012698	0.17890128670927002	0.2178803642162397	1
chr2	ANL	COLL	0.10197987531197	112.730484831628	25.3189802638361	100.287735682909	25.3189802638361	100.287735682909	74.9687554190729	0.399626067401292	0.6656286119410908	1
chr2	ANL	EFNSC40	0.10197987531197	112.730484831628	42.4326536454264	87.4376648736552	42.4326536454264	87.4376648736552	45.005011228228796	0.2855040750061078	0.39958810822965635	1
chr2	ANL	INFA	0.10197987531197	112.730484831628	38.4900950838706	98.3785065029769	38.4900950838706	98.3785065029769	59.888411419106305	0.34714515351515013	0.5317340529587475	1
chr2	ANL	LABL	0.10197987531197	112.730484831628	17.8931139644137	112.730484831628	17.8931139644137	112.730484831628	94.8373708672143	0.45712274604563213	0.8420370216580415	1
chr2	ANL	LABW	0.10197987531197	112.730484831628	42.4326536454264	98.3785065029769	42.4326536454264	98.3785065029769	55.945852857550506	0.3318764109979515	0.4967290729753503	1
chr2	ANL	STAE	0.10197987531197	112.730484831628	0.10197987531197	96.4938907432317	0.10197987531197	96.4938907432317	96.39191086791973	0.46116026746868216	0.8558393890188473	1
chr2	ANL	STAL	0.10197987531197	112.730484831628	17.8931139644137	112.730484831628	17.8931139644137	112.730484831628	94.8373708672143	0.45712274604563213	0.8420370216580415	1
chr2	ANL	STATL	0.10197987531197	112.730484831628	29.489869148048	42.4326536454264	29.489869148048	42.4326536454264	12.942784497378398	0.10307120802602866	0.11491570897081846	1
chr1	ANL	STAW	0	61.4481945915442	32.8386390639686	118.923254448536	32.8386390639686	61.4481945915442	28.6095555275756	0.19391995266821013	0.24057158257434316	0.4655882197637833
chr2	ANL	STAW	0.10197987531197	112.730484831628	77.4628939185688	98.3785065029769	77.4628939185688	98.3785065029769	20.91561258440811	0.15661949750822918	0.18570443239498222	1
chr1	ANL	STIW	0	61.4481945915442	38.7492796980689	118.923254448536	38.7492796980689	61.4481945915442	22.698914893475305	0.16027797765658022	0.19087028015448615	0.3693992157842644
chr2	ANL	STIW	0.10197987531197	112.730484831628	73.6637326578619	112.730484831628	73.6637326578619	112.730484831628	39.066752173766105	0.25753443392277897	0.34686380849074117	1
chr1	ANL	VFN	0	61.4481945915442	52.3048591120826	62.5018674117262	52.3048591120826	61.4481945915442	9.143335479461598	0.1276196466823909	0.14628899676277804	0.8966684355627298
chr2	ANL	VFN	0.10197987531197	112.730484831628	8.21172986843419	31.7515297290852	8.21172986843419	31.7515297290852	23.53979986065101	0.1728728274343463	0.20900392728982004	1
chr8	CLL	STIW	33.9118373634893	52.5029350358179	5.27410429109928	84.6793336650558	33.9118373634893	52.5029350358179	18.5910976723286	0.18971218853485958	0.2341293869295987	1
chr2	COL	COLL	17.8931139644137	42.4326536454264	25.3189802638361	100.287735682909	25.3189802638361	42.4326536454264	17.1136733815903	0.1719823796034023	0.207703767851012	0.697391785015099
chr6	COL	COLL	10.4164993978407	59.5181558938976	5.01773564678791	59.387413222563	10.4164993978407	59.387413222563	48.970913824722295	0.47328000807185544	0.8985419489002813	0.9973373063015685
chr2	COL	INFA	17.8931139644137	42.4326536454264	38.4900950838706	98.3785065029769	38.4900950838706	42.4326536454264	3.942558561555799	0.04669731422098009	0.04898477148715886	0.16066147176372372
chr2	COL	LABL	17.8931139644137	42.4326536454264	17.8931139644137	112.730484831628	17.8931139644137	42.4326536454264	24.539539681012698	0.20556353459238658	0.25875390109001983	1
